100000 100
312860163 64327 64498
750533489 98362 98823
476871102 16781 16220
156543180 40571 40901
377741445 878 230
860644167 48404 48091
260720964 98671 98057
303844549 30963 30462
384681591 2293 2837
726567472 52132 52415
978199436 70605 70117
996391011 10077 10370
356819722 48021 48385
510929387 48982 48556
304335315 2382 2975
413111998 16370 16357
977385542 88941 88033
868445179 68384 68863
647308328 82187 82570
684685113 30992 30614
396149140 16026 16708
227196441 42779 42254
925487387 54363 54095
95442270 42126 42691
642599925 92138 92024
697681447 56457 56681
31034591 378 81
845362017 22243 22125
736666810 36843 36544
548325927 42495 42700
25327752 58910 58316
470710373 98310 98488
475695328 50591 50982
923510375 76111 76916
831923241 28391 28315
192760245 74278 74070
279768618 22811 22312
440459729 56348 56641
971528829 997 365
854062302 20157 20334
484263195 20607 20740
456611250 74206 74969
16418671 14874 14896
365082316 42588 42750
966439274 84802 84266
982292028 40842 40723
526551781 46595 46978
212868360 84053 84273
358935361 90285 90969
939428447 64237 64183
280544999 74841 74058
794156153 2977 2580
385342461 58671 58050
914464106 66541 66179
785025884 42599 42940
177737880 56956 56151
402052209 50441 50070
453917194 32576 32385
649128751 52518 52747
107791020 40430 40805
751914813 50126 50866
91084705 28257 28677
615936468 44203 44711
316449087 56444 56206
452772885 2422 2897
785285679 12067 12831
401985676 62874 62575
986803161 52588 52910
827040183 12374 12465
138182020 64809 64088
808686227 44552 44526
929755370 86488 86767
421699059 32162 32525
930382266 34214 34123
661017557 70361 70988
288457174 10590 10329
859525902 80080 80711
667641019 50896 50882
622496788 86172 86789
829103691 6561 6287
974530348 20547 20756
889931803 12684 12365
947122257 2935 2179
155248851 6895 6754
658453154 48375 48561
640721337 68110 68443
329566975 18691 18286
185203632 16730 16941
748657660 36381 36500
768755296 12578 12948
398619437 18663 18965
43843115 28316 28585
648815182 10477 10660
784855126 56652 56588
595395211 90866 90204
693950884 88636 88269
176034032 76360 76289
354660013 84882 84461
207625356 96528 96074
770772810 54566 54482
30642566 18028 18545
157731369 50833 50498
383020619 76574 76203
763323909 10538 10438
662815949 56357 56643
262164290 28103 28616
228524829 2584 2218
71177566 24749 24229
374232039 64134 64333
282052155 16979 16086
246784269 38738 38450
849785879 22518 22399
409868206 20859 20146
828030516 22612 22546
254950153 84702 84586
332231165 90272 90988
419658731 88048 88246
511291727 6394 6446
511694002 72533 72015
145457125 36438 36432
595451770 52899 52314
400037253 36546 36271
335327904 86454 86546
242323291 2301 2106
424510109 94020 94341
837704755 74147 74684
368912672 32966 32862
379762685 165 594
337702013 76944 76710
245815871 20322 20173
221476924 66639 66406
288094741 36816 36359
708187235 40348 40689
523237851 48536 48899
601573338 92578 92213
398676061 76041 76056
643597991 6573 6555
623064248 78842 78671
901937198 8320 8075
191626038 28091 28963
415961254 14254 14875
433871731 80087 80984
463245503 34140 34394
260910027 82269 82311
402352573 20588 20128
654536222 28065 28264
843868873 48871 48215
96804502 28246 28660
613286189 80115 80839
582219280 4913 4148
214077249 12390 12690
800900530 82694 82999
750840243 72362 72129
61181520 12584 12705
471208149 48853 48942
672741261 78929 78857
880956880 84037 84762
374200501 46122 46176
184796396 46745 46397
4402886 70276 70749
745686709 48018 48735
370733280 10957 10592
150137001 48634 48511
344540504 32153 32506
846004250 64260 64010
691889015 16488 16301
319733233 16711 16288
535045011 68033 68938
829588654 56924 56138
813983301 46725 46834
30308899 42427 42337
837556506 8231 8490
722126201 84208 84159
183150562 24632 24526
923227949 18740 18425
181611571 48707 48428
589255861 98036 98578
998167510 64500 64442
104643676 32778 32483
955778877 32174 32141
76752045 76341 76451
55955937 30142 30073
236647247 30173 30930
930039391 62900 62221
748885923 18115 18389
746903524 36383 36646
542457352 56180 56252
31980596 78267 78018
252266687 70339 70776
641046606 64449 64299
216923138 66666 66307
672477839 14063 14753
856229002 36548 36902
120279492 98689 98040
17557414 82145 82697
428674861 88492 88482
142782310 88665 88450
948267394 4570 4762
370001922 10366 10826
569013750 24321 24719
971762535 4101 4341
178409245 44140 44066
224408698 66488 66539
269379155 74116 74577
284840233 12140 12828
632744965 46649 46606
541621562 48117 48514
209492225 12296 12892
786205539 30088 30701
117420327 44109 44741
988536328 24945 24100
189363069 52088 52920
833710523 88399 88629
70940674 4632 4077
270129511 96955 96412
83311309 66662 66613
951843874 60772 60140
975413645 98307 98376
602366650 28835 28726
877752001 62940 62767
875642516 64368 64837
61149570 40911 40886
780169312 34290 34991
772633615 16300 16268
356986071 94363 94547
821563670 80902 80362
257086417 10214 10450
143684646 20488 20161
712516158 74451 74309
489602902 52224 52293
132361689 64973 64531
533991855 48645 48631
452653533 94762 94313
303941437 26195 26700
434359958 28690 28812
634068046 46895 46923
717088096 44617 44154
196353744 40152 40679
830936345 42060 42993
99848752 8503 8240
284983377 44136 44604
13958178 98720 98892
611717627 14029 14862
210710901 84739 84063
702622320 8268 8291
938992554 44297 44122
576861729 50956 50716
713991477 22953 22519
140389715 30392 30754
988214167 98889 98767
568296262 4512 4485
108236466 48747 48521
829059538 8193 8958
612584113 2385 2935
217767478 84808 84185
238197533 36944 36976
84052192 52700 52408
49091078 60325 60673
646436129 64939 64529
971609358 62321 62269
41774352 56077 56385
41307484 58160 58897
67364674 54173 54241
814054478 30204 30690
332104083 68318 68664
845839491 84498 84847
796275825 48167 48712
438402488 22449 22518
558883623 94523 94912
772333187 96666 96993
451185527 98812 98137
744208488 62748 62958
858794993 92687 92914
184705474 16704 16773
688804357 62200 62333
434419488 591 415
562771540 32929 32433
997366554 24725 24735
194439507 18488 18471
926373093 44376 44002
680703634 88571 88248
157544142 74038 74621
527768924 34215 34342
593769006 56282 56910
388188183 52534 52291
175637988 82556 82763
716116036 24744 24083
818398617 92140 92458
430835821 38492 38201
484034716 44329 44261
558516896 70571 70568
977814382 92153 92274
10520239 86884 86561
869357224 20546 20600
948249596 20722 20669
24343664 96451 96029
112662685 16300 16550
235895386 68875 68245
769794374 4811 4836
565826292 48354 48775
581413770 28103 28342
457675773 58881 58346
5147376 2548 2634
331201490 62756 62903
93787319 24798 24837
78296975 76629 76553
516634026 42363 42667
957488752 22281 22106
98253932 96922 96723
155860136 40979 40001
281168411 18198 18036
177795254 64038 64175
14910668 26612 26948
659082740 52052 52087
240167346 26144 26987
24210519 34320 34027
645509083 34894 34647
573934680 42732 42419
569451524 24920 24145
461758287 98816 98535
678651155 94785 94337
906196517 40249 40776
602972603 54592 54607
88005816 32779 32655
101492121 50508 50236
812730140 78734 78287
929466806 18569 18753
8004775 48770 48621
987312729 8088 8378
941578627 48627 48782
565728340 44122 44444
890020539 50987 50656
856182786 86358 86133
835375715 22645 22208
622940123 2601 2071
659376762 72797 72257
257772453 42973 42895
748618352 56257 56035
559624074 86887 86492
530880997 12514 12734
914143618 28696 28930
508185537 90252 90663
281758646 68692 68537
4775899 82529 82153
946255936 4454 4738
688328865 6342 6374
829352638 34846 34584
831417969 20775 20668
912711068 22195 22848
763797035 12345 12178
366609297 80605 80716
523004331 84562 84890
714049793 70680 70763
774470586 14120 14682
622133346 32885 32563
